co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
A00,1,A00,Colera,-,-,A00,S,-,-
A00.0,1,A00,"Colera devida a Vibrio cholerae 01, biotipo cholerae",-,-,A000,S,-,-
A00.1,1,A00,"Colera devida a Vibrio cholerae 01, biotipo El Tor",-,-,A001,S,-,-
A00.9,1,A00,Colera nao especificada,-,-,A009,S,-,-
A01,1,A01,Febres tifoide e paratifoide,-,-,A01,S,-,-
A01.0,1,A01,Febre tifoide,-,-,A010,S,-,-
A01.1,1,A01,Febre paratifoide A,-,-,A011,S,-,-
A01.2,1,A01,Febre paratifoide B,-,-,A012,S,-,-
A01.3,1,A01,Febre paratifoide C,-,-,A013,S,-,-
A01.4,1,A01,Febre paratifoide nao especificada,-,-,A014,S,-,-
A02,1,A02,Outras infeccoes por Salmonella,-,-,A02,S,-,-
A02.0,1,A02,Enterite por salmonela,-,-,A020,S,-,-
A02.1,1,A02,Sepse por salmonela,-,-,A021,S,-,-
A02.2,1,A02,Infeccoes localizadas por salmonela,+,-,A022,S,-,-
A02.8,1,A02,Outras infeccoes especificadas por salmonela,-,-,A028,S,-,-
A02.9,1,A02,Infeccao nao especificada por salmonela,-,-,A029,S,-,-
A03,1,A03,Shiguelose,-,-,A03,S,-,-
A03.0,1,A03,Shiguelose devida a Shigella dysenteriae,-,-,A030,S,-,-
A03.1,1,A03,Shiguelose devida a Shigella flexneri,-,-,A031,S,-,-
A03.2,1,A03,Shiguelose devida a Shigella boydii,-,-,A032,S,-,-
A03.3,1,A03,Shiguelose devida a Shigella sonnei,-,-,A033,S,-,-
A03.8,1,A03,Outras shigueloses,-,-,A038,S,-,-
A03.9,1,A03,Shiguelose nao especificada,-,-,A039,S,-,-
A04,1,A04,Outras infeccoes intestinais bacterianas,-,-,A04,S,-,-
A04.0,1,A04,Infeccao por Escherichia coli enteropatogenica,-,-,A040,S,-,-
A04.1,1,A04,Infeccao por Escherichia coli enterotoxigenica,-,-,A041,S,-,-
A04.2,1,A04,Infeccao por Escherichia coli enteroinvasiva,-,-,A042,S,-,-
A04.3,1,A04,Infeccao por Escherichia coli enterohemorragica,-,-,A043,S,-,-
A04.4,1,A04,Outras infeccoes intestinais por Escherichia coli,-,-,A044,S,-,-
A04.5,1,A04,Enterite por Campylobacter,-,-,A045,S,-,-
A04.6,1,A04,Enterite devida a Yersinia enterocolitica,-,-,A046,S,-,-
A04.7,1,A04,Enterocolite devida a Clostridium difficile,-,-,A047,S,-,-
A04.8,1,A04,Outras infeccoes bacterianas intestinais especificadas,-,-,A048,S,-,-
A04.9,1,A04,Infeccao intestinal bacteriana nao especificada,-,-,A049,S,-,-
A05,1,A05,Outras intoxicacoes alimentares bacterianas,-,-,A05,S,-,-
A05.0,1,A05,Intoxicacao alimentar estafilococica,-,-,A050,S,-,-
A05.1,1,A05,Botulismo,-,-,A051,S,-,-
A05.2,1,A05,Intoxicacao alimentar devida a Clostridium perfringens [Clostridium welchii],-,-,A052,S,-,-
A05.3,1,A05,Intoxicacao alimentar devida a Vibrio parahemolyticus,-,-,A053,S,-,-
A05.4,1,A05,Intoxicacao alimentar devida a Bacillus cereus,-,-,A054,S,-,-
A05.8,1,A05,Outras intoxicacoes alimentares bacterianas especificadas,-,-,A058,S,-,-
A05.9,1,A05,Intoxicacao alimentar bacteriana nao especificada,-,-,A059,S,-,-
A06,1,A06,Amebiase,-,-,A06,S,-,-
A06.0,1,A06,Disenteria amebiana aguda,-,-,A060,S,-,-
A06.1,1,A06,Amebiase intestinal cronica,-,-,A061,S,-,-
A06.2,1,A06,Colite amebiana nao-disenterica,-,-,A062,S,-,-
A06.3,1,A06,Ameboma intestinal,-,-,A063,S,-,-
A06.4,1,A06,Abscesso amebiano do figado,-,-,A064,S,-,-
A06.5,1,A06,Abscesso amebiano do pulmao (J99.8*),+,-,A065,S,-,-
A06.6,1,A06,Abscesso amebiano do cerebro (G07*),+,-,A066,S,-,-
A06.7,1,A06,Amebiase cutanea,-,-,A067,S,-,-
A06.8,1,A06,Infeccao amebiana de outras localizacoes,-,-,A068,S,-,-
A06.9,1,A06,Amebiase nao especificada,-,-,A069,S,-,-
A07,1,A07,Outras doencas intestinais por protozoarios,-,-,A07,S,-,-
A07.0,1,A07,Balantidiase,-,-,A070,S,-,-
A07.1,1,A07,Giardiase [lambliase],-,-,A071,S,-,-
A07.2,1,A07,Criptosporidiose,-,-,A072,S,-,-
A07.3,1,A07,Isosporiase,-,-,A073,S,-,-
A07.8,1,A07,Outras doencas intestinais especificadas por protozoarios,-,-,A078,S,-,-
A07.9,1,A07,Doenca intestinal nao especificada por protozoarios,-,-,A079,S,-,-
A08,1,A08,"Infeccoes intestinais virais, outras e as nao especificadas",-,-,A08,S,-,-
A08.0,1,A08,Enterite por rotavirus,-,-,A080,S,-,-
A08.1,1,A08,Gastroenteropatia aguda pelo Norovirus,-,-,A081,S,-,-
A08.2,1,A08,Enterite por adenovirus,-,-,A082,S,-,-
A08.3,1,A08,Outras enterites virais,-,-,A083,S,-,-
A08.4,1,A08,Infeccao intestinal devida a virus nao especificado,-,-,A084,S,-,-
A08.5,1,A08,Outras infeccoes intestinais especificadas,-,-,A085,S,-,-
A09,1,A09,Diarreia e gastroenterite de origem infecciosa presumivel,-,-,A09,S,-,-
A09.0,1,A09,Outras gastroenterites e colites nao especificadas de origem infecciosa,-,-,A090,S,-,-
A09.9,1,A09,Gastroenterite e colite de origem nao especificada,-,-,A099,S,-,-
A15,2,A15,"Tuberculose respiratoria, com confirmacao bacteriologica e histologica",-,-,A15,S,-,-
A15.0,2,A15,"Tuberculose pulmonar, com confirmacao por exame microscopio da expectoracao, com ou sem cultura",-,-,A150,S,-,-
A15.1,2,A15,"Tuberculose pulmonar, com confirmacao somente por cultura",-,-,A151,S,-,-
A15.2,2,A15,"Tuberculose pulmonar, com confirmacao histologica",-,-,A152,S,-,-
A15.3,2,A15,"Tuberculose pulmonar, com confirmacao por meio nao especificado",-,-,A153,S,-,-
A15.4,2,A15,"Tuberculose dos ganglios intratoracicos, com confirmacao bacteriologica e histologica",-,-,A154,S,-,-
A15.5,2,A15,"Tuberculose da laringe, da traqueia e dos bronquios, com confirmacao bacteriologica e histologica",-,-,A155,S,-,-
A15.6,2,A15,"Pleuris tuberculoso, com confirmacao bacteriologica e histologica",-,-,A156,S,-,-
A15.7,2,A15,"Tuberculose primaria das vias respiratorias, com confirmacao bacteriologica e histologica",-,-,A157,S,-,-
A15.8,2,A15,"Outras formas de tuberculose das vias respiratorias, com confirmacao bacteriologica e histologica",-,-,A158,S,-,-
A15.9,2,A15,"Tuberculose nao especificada das vias respiratorias, com confirmacao bacteriologica e histologica",-,-,A159,S,-,-
A16,2,A16,"Tuberculose das vias respiratorias, sem confirmacao bacteriologica ou histologica",-,-,A16,S,-,-
A16.0,2,A16,Tuberculose pulmonar com exames bacteriologico e histologico negativos,-,-,A160,S,-,-
A16.1,2,A16,"Tuberculose pulmonar, sem realizacao de exame bacteriologico ou histologico",-,-,A161,S,-,-
A16.2,2,A16,"Tuberculose pulmonar, sem mencao de confirmacao bacteriologica ou histologica",-,-,A162,S,-,-
